	id	x	y
         1    12.760   149.290
         2    14.610   145.060
         3    16.930   141.700
         4    17.700   141.110
         5    19.790   139.500
         6    18.990   136.680
         7    25.430   141.250
         8    26.840   142.100
         9    45.500   152.900
        10    38.040   129.070
        11    48.380   123.340
        12    46.620   122.950
        13    42.490   121.620
        14    40.210   121.490
        15     6.410   124.470
        16     5.740   123.510
        17     7.230   121.240
        18     1.960   115.350
        19     1.540   111.000
        20    17.040   118.450
        21    15.390   107.570
        22    32.120   118.960
        23    33.090   116.280
        24    24.260   101.740
        25    28.710   106.290
        26    29.940   103.940
        27    30.750   104.370
        28    31.390   103.540
        29    48.810   107.410
        30    53.730   115.490
        31     5.430    93.420
        32     9.660    95.260
        33    13.140    94.430
        34    13.680    91.490
        35    12.240    90.180
        36    21.850    87.990
        37    16.740    85.130
        38    12.420    85.320
        39    25.560    91.080
        40    37.440    84.910
        41    29.280    81.280
        42    27.150    79.330
        43    26.410    78.600
        44    26.160    78.100
        45    26.060    76.740
        46    21.060    79.240
        47    16.540    72.510
        48    15.670    71.080
        49     7.220    63.680
        50     2.140    59.840
        51    19.770    65.270
        52    21.030    62.890
        53    21.320    62.280
        54    22.010    56.430
        55    26.070    77.240
        56    25.480    48.600
        57    20.600    42.580
        58    23.430    40.310
        59    22.410    37.570
        60    24.730    34.780
        61    11.010    34.080
        62    23.100    22.270
        63    22.830    21.600
        64    14.040    24.010
        65    26.250    10.300
        66    25.720     9.600
        67    48.110    21.200
