	id	x1	  y1	    x2	      y2
         1     3.362     0.190    10.435     3.797
         2    12.494     0.263    11.836     1.350
         3    11.233     0.197    -0.072    23.572
         4     6.351    12.786    16.484     0.285
         5    25.355     4.571    18.545     0.341
         6     9.586     0.517    44.296    28.328
         7    -0.189    39.934     3.520    31.350
         8     3.520    31.350     8.311    24.603
         9     8.311    24.603    21.104     0.281
        10    -0.140    28.803    11.979    18.529
        11    -0.079    26.372    14.934    15.574
        12    14.934    15.574    30.916     0.405
        13    22.615     0.313    32.341     6.769
        14    34.538     2.253    31.756     0.445
        15    41.061     5.026    39.987     0.488
        16    17.688    13.332    29.089    17.587
        17    15.372    13.689    63.348    29.254
        18    20.153    21.373    34.155     7.057
        19    21.337    25.119    32.123    14.511
        20    28.991    27.949    42.733    17.936
        21    24.401     7.592    57.252    26.255
        22    56.303    36.547    57.518    30.132
        23    57.518    30.132    57.575    23.101
        24    35.442     9.342    38.365    11.278
        25    38.764    10.363    51.090    17.598
        26    51.090    17.598    60.670    25.185
        27    61.434    23.056    39.931    10.099
        28    46.800    24.449    59.711     0.725
        29    15.647    14.956    32.052    28.013
        30    32.052    28.013    63.366    48.624
        31    36.554    23.950    70.060    50.605
        32    -0.155    33.483     3.039    35.496
        33     1.827    37.870     8.774    30.838
        34     7.398    36.284    15.827    16.674
        35     7.623    29.861    36.851    38.937
        36    25.657    52.199    33.898    34.451
        37    11.795    43.603     9.013    46.015
        38     1.478    45.554    16.792    56.924
        39    -0.219    45.844     2.149    47.386
        40    13.202    52.646     0.228    71.040
        41    -0.076    66.473     8.229    68.486
        42     0.078    68.452    12.195    71.539
        43    15.908    48.044    17.877    45.411
        44    17.282    45.028    32.190    49.912
        45    32.190    49.912    70.102    67.755
        46    40.897    40.309    62.989    47.179
        47    38.134    47.692    56.294    51.858
        48    47.421    55.853    55.354    57.789
        49    65.334    39.101    63.096    46.897
        50    63.096    46.897    62.159    53.089
        51    62.159    53.089    60.507    57.168
        52    60.507    57.168    58.642    65.251
        53    58.642    65.251    56.010    73.512
        54    58.012    64.358    69.610    65.901
        55    63.935    49.387    68.450    50.634
        56    68.450    50.634    69.968    51.266
        57    59.069    53.915    64.149    54.815
        58    64.149    54.815    69.890    57.358
        59    57.830    54.010    50.497    68.197
        60    57.848    58.130    51.867    70.731
        61    56.010    65.042    51.512    64.375
        62    51.512    64.375    46.088    62.379
        63    46.088    62.379    21.856    58.064
        64    49.959    62.483    39.455    69.757
        65    37.236    58.843    21.904    69.774
        66    33.968    59.061    13.497    72.594
        67    33.367    49.598    21.527    75.929
        68    27.584    68.067    38.723    73.866
        69    41.736    58.030    25.751    84.739
        70    23.826    84.332    14.650    77.070
        71    70.005    96.758    65.015    87.526
        72    69.976    82.467    64.231    78.705
        73    66.743    76.305    58.487    99.514
        74    60.564   100.129    70.054   102.657
        75    43.862    97.466    69.789   104.761
        76    47.013   103.509    56.631   106.696
        77    51.237   107.210    56.948   100.492
        78    61.910    92.973    53.996   113.867
        79    53.996   113.867    52.094   117.970
        80    56.181   110.091    64.956   129.129
        81    67.028   126.714    70.032   132.949
        82    61.342    86.420    50.009   107.374
        83    50.009   107.374    43.564   118.011
        84    47.146   116.488    43.910   121.907
        85    42.514   103.622    46.301    99.938
        86    45.991   100.751    38.587    94.558
        87    39.264   104.411    42.601    96.551
        88    42.601    96.551    45.322    88.129
        89    45.322    88.129    49.241    78.772
        90    35.857    73.370    24.374    93.466
        91    36.011    87.208    30.562    92.403
        92    35.546    91.884     0.293    79.880
        93     0.055    80.112     2.586    81.813
        94     7.023    82.440     9.199    83.745
        95    11.876    84.393    14.453    85.783
        96    -0.237    88.366    64.912    94.898
        97    22.499    89.638    34.536   104.597
        98    34.536   104.597    40.306   112.269
        99     2.638    87.062    35.456    99.506
       100     8.032    99.319    23.490   103.307
       101    18.237    90.368    -0.049    98.354
       102    -0.074    97.945     4.850    90.656
       103     1.830    92.402     7.570    99.095
       104     1.893    95.131    22.614   108.767
       105    13.342   101.827    -0.229   111.137
       106     2.267   107.367    -0.335   104.658
       107    31.386    99.574    28.417   104.699
       108    27.417   107.301    26.292   109.384
       109    31.813   105.209    40.263   107.729
       110    28.828    98.844     0.150   124.533
       111    10.734   117.228    23.646   126.696
       112     0.104   127.484    17.764   136.716
       113    34.032   104.322     0.022   137.425
       114     0.333   137.491     8.835   141.041
       115     6.894   137.614     0.008   151.506
       116     7.755   142.734     0.228   152.323
       117     0.090   155.045     1.998   156.593
       118    23.788   109.954    58.290   131.987
       119    60.951   133.776    69.769   139.482
       120    29.821   123.733    40.591   131.286
       121    46.565   135.876    62.990   146.412
       122    67.539   148.849    69.695   150.203
       123    31.737   133.511    35.181   135.540
       124    20.588   138.702    26.702   142.410
       125    30.399   144.687    33.215   146.034
       126    35.735   147.734    39.264   148.502
       127    42.407   150.435    54.948   157.288
       128    54.948   157.288    54.927   157.198
       129    17.372   145.891    22.529   148.120
       130    23.819   148.105    26.358   148.915
       131    25.324   138.357    17.654   147.697
       132    17.654   147.697     8.883   157.881
       133    12.252   148.441     8.319   153.288
       134    20.193   146.777    17.485   149.480
       135    17.485   149.480    12.692   157.766
       136    27.411   148.282    25.742   150.922
       137    27.757   145.418    23.998   158.233
       138    48.329    71.743    30.314   103.626
       139    53.578    79.281    46.937    97.870
       140    46.937    97.900    42.876   113.938
