    x    y
 0.09 0.09 
 0.29 0.02 
 0.38 0.03 
 0.39 0.18 
 0.48 0.03                        
 0.59 0.02 
 0.65 0.16 
 0.67 0.13 
 0.73 0.13 
 0.79 0.03                        
 0.86 0.13 
 0.89 0.08 
 0.98 0.02 
 0.02 0.18 
 0.11 0.31                        
 0.42 0.22 
 0.48 0.13 
 0.62 0.21 
 0.73 0.23 
 0.89 0.23                        
 0.02 0.41 
 0.03 0.44 
 0.07 0.42 
 0.52 0.42 
 0.64 0.43                        
 0.08 0.59 
 0.08 0.63 
 0.12 0.63 
 0.12 0.66 
 0.17 0.58                        
 0.31 0.53 
 0.32 0.52 
 0.42 0.49 
 0.52 0.52 
 0.91 0.52                        
 0.94 0.58 
 0.34 0.68 
 0.37 0.68 
 0.47 0.67 
 0.52 0.67                        
 0.59 0.67 
 0.66 0.68 
 0.76 0.66 
 0.73 0.73 
 0.89 0.74                        
 0.94 0.78 
 0.98 0.79 
 0.97 0.86 
 0.12 0.84 
 0.11 0.94                        
 0.17 0.95 
 0.21 0.79 
 0.29 0.84 
 0.32 0.83 
 0.35 0.86                        
 0.39 0.79 
 0.52 0.93 
 0.58 0.83 
 0.69 0.93 
 0.77 0.93                        
 0.36 0.97 
 0.36 0.96 
 0.39 0.96 
 0.43 0.96 
 0.62 0.97                        
