   x      y   on
  .013  .013  1
  .032  .149  1
  .065  .273  1
  .084  .409  1
  .078  .545  1
  .026  .675  1
  .117  .714  1
  .130  .156  1
  .110  .026  1
  .182  .286  1
  .182  .506  1
  .208  .636  1
  .214  .396  1
  .214  .136  1
  .234  .039  1
  .260  .208  1
  .299  .545  1
  .331  .649  1
  .344  .377  1
  .338  .299  1
  .325  .117  1
  .312  .013  1
  .370  .474  1
  .390  .130  1
  .383  .201  1
  .429  .052  1
  .468  .156  1
  .442  .273  1
  .442  .390  1
  .448  .584  1
  .442  .688  1
  .558  .052  1
  .571  .130  1
  .545  .195  1
  .558  .273  1
  .578  .442  1
  .565  .630  1
  .552  .727  1
  .649  .195  1
  .636  .364  1
  .636  .545  1
  .688  .104  1
  .682  .273  1
  .688  .701  1
  .734  .442  1
  .779  .312  1
  .753  .188  1
  .766  .091  1
  .779  .656  1
  .786  .747  1
  .831  .227  1
  .844  .078  1
  .831  .403  1
  .870  .649  1
  .896  .169  1
  .922  .299  1
  .935  .065  1
  .948  .013  1
  .961  .169  1
  .974  .377  1
  .961  .481  1
  .974  .623  1
  .994  .708  1
  .747  .539  1
  .857  .519  1
  .084  .013  0
  .026  .104  0
  .065  .188  0
  .104  .299  0
  .104  .416  0
  .039  .487  0
  .071  .708  0
  .136  .110  0
  .136  .610  0
  .175  .701  0
  .195  .532  0
  .195  .442  0
  .188  .331  0
  .182  .208  0
  .214  .052  0
  .299  .143  0
  .266  .260  0
  .286  .377  0
  .266  .623  0
  .318  .519  0
  .338  .045  0
  .383  .299  0
  .396  .429  0
  .409  .591  0
  .396  .727  0
  .461  .662  0
  .468  .519  0
  .455  .338  0
  .481  .013  0
  .494  .117  0
  .506  .468  0
  .416  .221  0
  .610  .013  0
  .591  .084  0
  .571  .208  0
  .532  .240  0
  .578  .305  0
  .545  .403  0
  .571  .545  0
  .584  .675  0
  .675  .006  0
  .695  .078  0
  .747  .156  0
  .688  .195  0
  .669  .260  0
  .662  .390  0
  .675  .539  0
  .734  .623  0
  .701  .721  0
  .727  .448  0
  .773  .383  0
  .779  .260  0
  .792  .026  0
  .857  .039  0
  .818  .117  0
  .903  .117  0
  .890  .188  0
  .870  .260  0
  .851  .325  0
  .831  .377  0
  .857  .481  0
  .818  .565  0
  .857  .688  0
  .909  .740  0
  .961  .039  0
  .981  .130  0
  .981  .247  0
  .935  .344  0
  .948  .461  0
  .929  .597  0








































































































































