 type      x      y  area
   on  41.69  28.88 275.9
  off 133.61  36.75 241.2
   on 693.60  38.08 256.0
   on 172.30  52.17 442.9
  off 509.57  60.50 209.4
  off 211.47  82.14 260.4
   on 299.61  86.61 348.8
   on 567.28  87.60 315.2
  off 729.98  92.94 275.3
  off  42.01  95.63 317.8
   on 432.55 100.34 310.0
  off 317.03 120.03 279.4
   on  51.75 126.82 375.3
  off 436.03 125.37 307.3
   on 739.55 133.40 378.2
   on 173.83 142.77 286.9
  off 136.82 150.88 303.0
  off 628.52 154.91 202.4
  off 218.33 192.19 277.3
  off 719.55 195.16 278.8
   on 525.82 197.93 244.1
   on 302.21 205.99 341.5
  off 352.17 206.10 322.5
  off 557.92 208.06 248.4
  off 459.72 214.33 319.9
   on 655.19 219.75 315.5
  off  81.01 222.68 353.1
   on 157.95 228.87 514.4
   on 417.27 231.60 404.2
   on  63.34 247.04 360.4
   on 227.33 277.10 252.8
  off 278.66 276.52 276.1
  off 647.22 279.52 274.4
  off 400.48 299.64 251.7
  off 166.16 307.43 298.9
   on 558.79 317.32 370.0
   on  36.05 325.27 207.9
  off 542.16 329.65 257.2
   on 668.09 344.24 325.4
  off  70.17 339.83 310.0
   on 134.28 340.67 305.0
   on 316.73 355.22 317.0
   on 397.90 361.75 373.5
   on 491.87 386.29 435.1
   on 216.21 399.35 366.8
  off 321.86 391.34 245.5
   on 150.01 401.72 276.1
  off 448.42 403.87 268.9
  off 748.14 406.76 252.2
  off 242.68 417.55 227.4
  off 614.95 418.48 319.0
   on  70.38 442.52 320.5
   on 291.98 453.39 327.2
   on 403.34 457.97 384.6
   on 699.25 456.33 285.8
   on 599.13 460.48 321.3
  off 360.23 460.73 245.5
  off 686.41 472.64 245.2
  off 542.26 475.05 256.0
   on 174.11 479.98 303.8
  off  38.92 481.55 225.4
  off 144.65 493.03 294.2
  off 491.46 513.88 244.4
  off 265.41 535.65 257.2
  off 428.85 545.20 199.5
   on 215.52 550.52 263.3
   on 742.86 562.56 345.5
   on  71.02 562.14 279.9
   on 287.59 567.69 427.8
  off 234.25 572.13 239.4
  off 570.95 573.81 249.3
   on 646.16 575.08 228.3
  off 331.34 581.05 320.5
   on 147.83 580.60 340.9
  off 114.60 584.03 257.8
   on 458.97 586.70 363.3
  off 703.85 588.08 274.4
  off  42.63 606.70 246.7
   on 373.01 645.92 348.2
   on 556.33 648.77 350.5
   on 209.00 653.87 287.2
  off 418.84 663.64 258.6
  off  34.50 665.12 168.3
  off 289.81 667.53 260.7
  off 561.32 677.83 263.9
   on 289.76 689.40 286.1
  off 225.50 687.99 189.0
  off 103.26 692.03 220.4
   on 718.02 692.59 345.3
   on 121.01 695.40 345.5
  off 742.27 701.10 308.8
  off 474.37 730.79 257.5
  off 648.71 736.06 258.4
   on 453.84 741.21 412.3
  off 179.67 740.85 235.0
   on 557.76 755.65 273.8
   on 204.37 760.30 312.9
  off 403.37 770.19 302.1
   on 111.66 772.63 391.3
  off 280.47 773.37 266.2
   on 320.80 781.21 362.2
  off  52.90 782.30 243.2
   on 670.29 784.54 360.1
   on 766.00 791.54 224.8
  off 144.44 808.04 209.4
  off 586.43 821.73 239.4
  off 397.60 826.41 242.3
   on 241.84 836.87 377.3
   on 413.50 838.56 255.7
  off 349.31 844.83 173.5
  off  63.51 849.38 198.3
  off 503.02 851.27 223.4
   on  92.67 857.66 439.7
  off 285.80 857.14 219.3
   on 541.70 861.95 281.7
  off 706.91 860.29 214.3
   on 662.35 874.76 291.9
  off 213.15 878.63 231.5
   on 183.63 892.73 323.1
  off 143.33 892.00 262.4
  off 762.89 903.35 342.0
  off 620.04 923.08 195.4
   on 314.41 926.55 274.4
  off 363.87 927.82 278.2
   on  81.62 933.86 293.6
  off  66.05 943.64 254.6
  off 481.27 942.58 286.1
   on  36.53 944.04 233.6
   on 187.43 954.28 337.4
   on 495.15 964.47 345.5
  off 153.93 968.04 360.1
  off 268.88 968.11 285.2
   on 389.01 970.53 305.9
   on 639.92 973.56 229.8
   on 718.49 993.77 251.7
