   x    y which
2647 2235 "inner"
2640 2700 "inner"
3045 2708 "inner"
3120 2633 "inner"
3157 2498 "inner"
3135 2378 "inner"
3090 2303 "inner"
2977 2228 "inner"
2685 2235 "inner"
2647 2250 "inner"
2647 2235 "inner"
2032 3278 "outer"
2017 3248 "outer"
2017 653  "outer"
2662 653  "outer"
2655 1695 "outer"
2835 1680 "outer"
2880 1650 "outer"
2985 1478 "outer"
3277 660  "outer"
3930 645  "outer"
3907 705  "outer"
3787 1050 "outer"
3697 1305 "outer"
3495 1665 "outer"
3382 1823 "outer"
3547 1905 "outer"
3697 2093 "outer"
3757 2258 "outer"
3765 2385 "outer"
3757 2460 "outer"
3742 2760 "outer"
3675 3000 "outer"
3465 3218 "outer"
3285 3278 "outer"
2032 3278 "outer"
